"Date","Price","Open","High","Low","Vol.","Change %"
"05/14/2020","18,462.38","18,689.95","18,793.86","18,149.79","573.64M","-1.78%"
"05/13/2020","18,797.41","18,974.14","19,052.60","18,797.41","475.46M","-1.93%"
"05/12/2020","19,167.08","19,036.08","19,221.43","19,036.08","444.72M","0.81%"
"05/11/2020","19,012.53","19,247.74","19,327.15","18,942.21","444.76M","-0.32%"
"05/08/2020","19,074.45","19,046.09","19,096.10","18,888.47","362.68M","1.14%"
"05/07/2020","18,860.09","18,891.46","18,999.32","18,720.53","606.70M","0.39%"
"05/06/2020","18,787.43","19,007.78","19,140.75","18,780.41","492.62M","-1.18%"
"05/05/2020","19,010.90","18,936.26","19,046.90","18,731.32","664.57M","1.79%"
"05/04/2020","18,676.70","18,816.42","18,998.29","18,676.70","682.77M","-3.46%"
"04/30/2020","19,345.75","19,872.71","19,963.92","19,302.97","1.04B","-1.90%"
"04/29/2020","19,720.45","19,279.29","19,724.74","19,275.72","751.22M","2.00%"
"04/28/2020","19,333.41","19,087.23","19,594.96","19,074.24","820.76M","1.60%"
"04/27/2020","19,028.30","18,961.60","19,028.30","18,825.15","525.72M","2.88%"
"04/24/2020","18,495.28","18,288.80","18,797.08","18,288.80","495.59M","-0.81%"
"04/23/2020","18,645.74","18,573.24","18,774.26","18,410.95","527.74M","1.30%"
"04/22/2020","18,405.57","18,271.71","18,407.56","18,224.11","464.96M","1.70%"
"04/21/2020","18,098.25","18,463.11","18,572.85","18,098.25","538.65M","-3.28%"
"04/20/2020","18,711.26","18,786.98","18,800.14","18,426.11","442.25M","0.18%"
"04/17/2020","18,677.04","18,778.01","18,935.21","18,585.84","592.23M","1.68%"
"04/16/2020","18,368.73","18,592.30","18,771.67","18,338.16","609.41M","0.31%"
"04/15/2020","18,312.13","19,090.39","19,162.61","18,312.13","746.89M","-4.52%"
"04/14/2020","19,179.27","19,445.85","19,449.10","19,121.45","639.85M","-0.17%"
"04/09/2020","19,212.87","19,269.11","19,353.18","18,952.85","765.04M","1.36%"
"04/08/2020","18,955.05","18,774.22","18,978.95","18,760.03","631.86M","0.00%"
"04/07/2020","18,955.84","19,138.87","19,457.48","18,738.48","980.21M","2.10%"
"04/06/2020","18,565.97","18,327.49","18,588.76","18,327.49","737.10M","3.70%"
"04/03/2020","17,903.74","18,293.43","18,321.00","17,903.74","696.43M","-2.53%"
"04/02/2020","18,368.40","18,185.41","18,406.84","17,953.96","727.76M","1.68%"
"04/01/2020","18,064.77","18,127.35","18,369.41","18,001.49","655.96M","-2.72%"
"03/31/2020","18,569.64","18,609.25","18,807.46","18,222.42","954.38M","1.18%"
"03/30/2020","18,353.18","18,352.12","18,415.04","17,780.77","649.66M","0.26%"
"03/27/2020","18,306.22","18,536.84","18,770.46","18,125.48","744.86M","-2.89%"
"03/26/2020","18,850.84","18,328.17","18,850.84","18,289.60","849.58M","0.94%"
"03/25/2020","18,675.86","18,741.09","19,334.42","18,036.00","1.17B","1.48%"
"03/24/2020","18,403.36","17,462.88","18,403.36","17,462.88","1.09B","8.33%"
"03/23/2020","16,988.54","16,733.23","17,217.80","16,509.50","959.76M","-1.07%"
"03/20/2020","17,171.55","17,209.93","17,628.87","17,047.73","1.50B","1.85%"
"03/19/2020","16,859.82","16,814.38","17,240.13","16,438.49","1.27B","2.27%"
"03/18/2020","16,486.21","16,372.27","16,785.57","16,149.48","992.76M","-1.17%"
"03/17/2020","16,680.56","16,850.34","17,238.59","16,065.72","1.40B","1.96%"
"03/16/2020","16,360.04","17,130.96","17,130.96","15,498.19","1.54B","-6.06%"
"03/13/2020","17,415.07","16,562.71","19,056.77","16,562.71","1.75B","6.93%"
"03/12/2020","16,286.37","19,128.70","19,128.70","16,286.37","1.91B","-16.40%"
"03/11/2020","19,480.78","19,769.55","19,998.61","19,226.41","1.20B","0.22%"
"03/10/2020","19,438.13","20,294.57","20,826.86","19,363.45","1.46B","-3.32%"
"03/09/2020","20,105.88","22,428.56","22,428.56","19,966.63","1.64B","-10.75%"
"03/06/2020","22,526.70","22,730.62","22,889.48","22,335.89","1.27B","-3.40%"
"03/05/2020","23,320.20","23,868.41","23,890.51","23,133.00","1.05B","-1.92%"
"03/04/2020","23,777.79","23,619.02","24,074.98","23,360.18","1.06B","0.64%"
"03/03/2020","23,625.54","24,002.98","24,239.60","23,546.66","1.04B","0.47%"
"03/02/2020","23,514.49","24,273.12","24,297.15","22,968.63","1.23B","-1.64%"
"02/28/2020","23,907.05","23,986.20","24,274.77","23,629.09","1.32B","-3.47%"
"02/27/2020","24,767.22","24,984.06","25,073.31","24,432.70","991.50M","-2.67%"
"02/26/2020","25,445.97","24,961.41","25,620.48","24,611.58","981.40M","1.40%"
"02/25/2020","25,094.36","25,602.27","25,650.56","25,042.36","910.20M","-1.34%"
"02/24/2020","25,434.49","25,952.55","26,017.68","25,260.93","1.40B","-5.50%"
"02/21/2020","26,915.99","27,156.59","27,295.48","26,816.93","932.11M","-1.24%"
"02/20/2020","27,255.25","27,618.73","27,622.87","27,255.25","1.00B","-1.52%"
"02/19/2020","27,675.06","27,531.98","27,679.37","27,455.98","718.51M","1.02%"
"02/18/2020","27,394.27","27,163.81","27,567.78","27,156.07","1.13B","0.36%"
"02/17/2020","27,294.70","27,109.37","27,294.70","27,052.84","608.28M","1.09%"
"02/14/2020","27,000.45","27,065.47","27,116.91","26,972.26","594.87M","-0.02%"
"02/13/2020","27,004.71","26,885.92","27,004.71","26,690.45","735.62M","0.10%"
"02/12/2020","26,977.06","26,834.79","27,007.52","26,834.79","687.17M","0.71%"
"02/11/2020","26,786.60","26,695.66","26,857.13","26,613.20","668.93M","0.79%"
"02/10/2020","26,575.50","26,514.40","26,667.70","26,469.07","571.77M","0.08%"
"02/07/2020","26,553.56","26,560.65","26,615.05","26,441.15","663.48M","-0.11%"
"02/06/2020","26,582.33","26,453.25","26,610.84","26,442.53","859.07M","0.94%"
"02/05/2020","26,333.48","25,908.10","26,375.98","25,827.41","713.28M","1.55%"
"02/04/2020","25,932.51","25,651.09","25,992.32","25,617.62","671.78M","1.62%"
"02/03/2020","25,518.21","25,348.79","25,527.07","25,272.73","504.96M","0.89%"
"01/31/2020","25,293.57","25,957.11","25,960.90","25,270.82","852.46M","-2.24%"
"01/30/2020","25,873.17","26,007.38","26,094.14","25,782.49","649.28M","-1.58%"
"01/29/2020","26,287.60","26,164.04","26,314.88","26,081.82","589.44M","0.60%"
"01/28/2020","26,130.14","25,647.19","26,130.14","25,535.53","651.66M","2.43%"
"01/27/2020","25,510.26","25,839.06","26,098.22","25,480.88","698.86M","-2.32%"
"01/24/2020","26,115.61","25,999.90","26,237.24","25,999.90","592.27M","1.01%"
"01/23/2020","25,854.82","25,879.16","26,055.31","25,763.60","550.48M","-0.06%"
"01/22/2020","25,870.59","26,062.74","26,076.78","25,844.68","622.19M","-0.55%"
"01/21/2020","26,014.82","26,037.48","26,037.48","25,808.47","533.93M","-0.65%"
"01/20/2020","26,184.78","26,202.15","26,265.83","26,147.13","455.53M","-0.44%"
"01/17/2020","26,300.93","26,188.38","26,326.24","26,167.59","563.35M","0.83%"
"01/16/2020","26,084.98","26,012.44","26,111.83","25,903.88","513.05M","0.67%"
"01/15/2020","25,912.01","26,055.00","26,083.38","25,866.70","676.67M","-0.63%"
"01/14/2020","26,077.11","26,086.23","26,099.50","25,855.84","656.98M","0.11%"
"01/13/2020","26,047.91","26,206.49","26,206.49","25,978.30","1.34B","-0.42%"
